title,category,description,required_skills,avg_salary_inr,growth_rate,difficulty_level,education_required,top_colleges,job_roles
Data Scientist,Technology,Analyze data to extract insights using ML and statistics,Python;Machine Learning;Statistics;SQL,1200000,Very High,Hard,BTech/MSc in CS or Statistics,IIT;IIIT;BITS,Data Analyst;ML Engineer;Data Engineer
Software Developer,Technology,Build applications and software solutions,Programming;DSA;Problem Solving;Git,800000,High,Medium,BTech/BCA in CS,IIT;NIT;IIIT,Backend Developer;Frontend Developer;Full Stack Developer
Digital Marketing Specialist,Business,Promote products and services through digital channels,SEO;Content Writing;Analytics;Social Media,500000,High,Easy,Any Graduate with Certification,Any College,SEO Specialist;Content Marketer;Social Media Manager
Graphic Designer,Creative,Create visual content for brands and media,Adobe Suite;Creativity;Typography;Color Theory,400000,Medium,Easy,Design Degree or Self-taught,NID;NIFT;Pearl Academy,UI Designer;Brand Designer;Illustrator
Civil Engineer,Engineering,Design and supervise construction projects,AutoCAD;Project Management;Mathematics,600000,Medium,Medium,BTech in Civil Engineering,IIT;NIT;Top Engineering Colleges,Site Engineer;Structural Engineer;Project Manager
Chartered Accountant,Finance,Handle financial auditing and taxation,Accounting;Taxation;Excel;Financial Analysis,1000000,High,Hard,CA Certification,CA Foundation;ICAI,Tax Consultant;Auditor;Financial Advisor
Content Writer,Creative,Write articles blogs and marketing content,Writing;Research;SEO;Grammar,350000,Medium,Easy,Any Graduate,Any College,Blog Writer;Copywriter;Technical Writer
Business Analyst,Business,Analyze business processes and recommend solutions,Excel;SQL;Business Intelligence;Communication,700000,High,Medium,MBA or BTech,IIM;Top B-Schools,Data Analyst;Product Analyst;Strategy Consultant
Cybersecurity Analyst,Technology,Protect systems from cyber threats and attacks,Networking;Ethical Hacking;Security Tools,900000,Very High,Hard,BTech in CS with Security Certification,IIT;NIT;Cybersecurity Institutes,Security Engineer;Penetration Tester;SOC Analyst
Teacher,Education,Educate students in schools or coaching centers,Subject Knowledge;Communication;Patience,400000,Low,Easy,BEd or Subject Masters,Any University,School Teacher;Professor;Tutor
Doctor,Healthcare,Diagnose and treat patients medical conditions,Medical Knowledge;Empathy;Decision Making,1500000,Medium,Very Hard,MBBS;MD,AIIMS;Top Medical Colleges,General Physician;Specialist;Surgeon
Mechanical Engineer,Engineering,Design and develop mechanical systems,CAD;Thermodynamics;Manufacturing,550000,Medium,Medium,BTech in Mechanical,IIT;NIT;Top Engineering Colleges,Design Engineer;Production Engineer;R&D Engineer
HR Manager,Business,Manage recruitment and employee relations,Communication;Conflict Resolution;HR Software,600000,Medium,Medium,MBA in HR or BBA,IIM;XLRI;Top B-Schools,Recruiter;HR Business Partner;Training Manager
Architect,Creative,Design buildings and structures,AutoCAD;3D Modeling;Creativity;Building Codes,700000,Medium,Hard,BArch Degree,IIT;SPA;CEPT,Design Architect;Project Architect;Urban Planner
Investment Banker,Finance,Provide financial advisory for mergers and investments,Finance;Valuation;Excel;Communication,1800000,High,Very Hard,MBA from Top B-School,IIM;ISB;FMS,Analyst;Associate;VP
Psychologist,Healthcare,Provide mental health counseling and therapy,Psychology;Empathy;Listening Skills,500000,Medium,Medium,MA in Psychology,DU;JNU;Top Universities,Counselor;Clinical Psychologist;Therapist
Agricultural Scientist,Agriculture,Research and develop farming techniques,Botany;Soil Science;Research Methods,450000,Low,Medium,MSc in Agriculture,Agricultural Universities,Research Scientist;Farm Consultant;Agriculture Officer
Fashion Designer,Creative,Design clothing and fashion accessories,Creativity;Sketching;Fabric Knowledge;Trends,600000,Medium,Medium,Fashion Design Degree,NIFT;Pearl Academy;NID,Fashion Designer;Stylist;Merchandiser
Pharmacist,Healthcare,Dispense medicines and provide drug information,Pharmacy Knowledge;Attention to Detail,400000,Low,Medium,BPharma or DPharma,Top Pharmacy Colleges,Retail Pharmacist;Hospital Pharmacist;Drug Inspector
Lawyer,Legal,Represent clients in legal matters,Law Knowledge;Argumentation;Research,800000,Medium,Hard,LLB Degree,NLU;DU Law;Top Law Schools,Corporate Lawyer;Criminal Lawyer;Legal Advisor
Cloud Engineer,Technology,Design and manage cloud infrastructure,AWS;Azure;GCP;DevOps,1100000,Very High,Medium,BTech in CS with Cloud Certification,IIT;IIIT;Online Certifications,Cloud Architect;DevOps Engineer;Site Reliability Engineer
UX/UI Designer,Technology,Design user interfaces and experiences,Figma;User Research;Prototyping,700000,High,Medium,Design Degree or Self-taught,NID;NIFT;Online Courses,UX Designer;UI Designer;Product Designer
Electrical Engineer,Engineering,Design electrical systems and equipment,Circuit Design;Power Systems;Electronics,550000,Medium,Medium,BTech in Electrical,IIT;NIT;Top Engineering Colleges,Design Engineer;Power Engineer;Control Systems Engineer
Sales Manager,Business,Lead sales teams and drive revenue growth,Communication;Negotiation;CRM Tools,700000,High,Medium,Any Graduate with MBA,Any College;MBA from Top B-Schools,Sales Executive;Business Development Manager;Key Account Manager
Journalist,Media,Report news and write articles for media outlets,Writing;Research;Communication;Ethics,450000,Medium,Medium,Journalism Degree or Any Graduate,Journalism Schools;Any University,Reporter;Editor;Correspondent
